Genero,Login,Logout,MOVIL,Fecha
H,21:20:36,1900-01-01 00:01:17,Z37-4012,2024-07-13
M,05:03:06,07:10:44,Z37-4025,2024-07-14
M,17:39:28,17:40:32,Z37-4012,2024-07-14
M,17:40:45,17:41:40,Z37-4012,2024-07-14
M,07:00:22,09:31:41,Z37-4012,2024-07-14
M,16:32:24,20:40:20,Z37-4025,2024-07-14
M,12:23:06,16:31:00,Z37-4025,2024-07-14
M,07:30:04,09:38:10,Z37-4025,2024-07-14
?,17:55:26,20:19:04,Z37-4012,2024-07-14
M,09:57:59,13:35:39,Z37-4012,2024-07-14
M,13:39:01,13:52:16,Z37-4012,2024-07-14
M,13:52:25,13:55:12,Z37-4012,2024-07-14
M,13:57:11,17:12:06,Z37-4012,2024-07-14
H,07:17:59,10:26:27,Z37-4012,2024-07-15
H,18:12:09,21:44:46,Z37-4025,2024-07-15
M,13:35:53,17:25:12,Z37-4025,2024-07-15
H,05:12:05,10:50:42,Z37-4025,2024-07-15
M,18:11:44,20:44:19,Z37-4012,2024-07-15
M,04:02:31,06:43:09,Z37-4012,2024-07-15
M,04:57:54,05:05:27,Z37-4025,2024-07-15
M,14:26:56,18:05:49,Z37-4012,2024-07-15
H,03:46:59,09:56:30,Z37-4012,2024-07-16
M,14:05:05,17:26:03,Z37-4025,2024-07-16
H,03:26:08,05:39:45,Z37-4025,2024-07-16
H,06:32:49,10:05:24,Z37-4025,2024-07-16
H,10:33:10,14:06:23,Z37-4012,2024-07-16
M,18:27:49,21:18:20,Z37-4025,2024-07-16
M,18:22:28,18:23:50,Z37-4025,2024-07-16
M,18:24:02,18:24:24,Z37-4025,2024-07-16
M,18:25:49,18:26:01,Z37-4025,2024-07-16
H,18:31:35,21:37:14,Z37-4012,2024-07-16
H,14:19:12,18:31:27,Z37-4012,2024-07-16
M,07:14:14,10:44:44,Z37-4025,2024-07-17
M,15:27:48,17:11:47,Z37-4012,2024-07-17
M,03:40:46,06:35:12,Z37-4025,2024-07-17
M,17:33:32,18:28:38,Z37-4012,2024-07-17
M,18:55:08,22:08:46,Z37-4025,2024-07-17
H,18:29:48,21:05:25,Z37-4012,2024-07-17
H,21:08:46,23:08:53,Z37-4012,2024-07-17
H,14:17:21,18:39:58,Z37-4025,2024-07-17
H,04:29:57,08:59:57,Z37-4012,2024-07-17
H,11:04:59,14:13:29,Z37-4025,2024-07-17
M,14:17:04,17:42:23,Z37-4025,2024-07-18
H,08:54:19,11:46:37,Z37-4012,2024-07-18
M,05:25:04,08:49:05,Z37-4012,2024-07-18
M,10:34:31,14:11:17,Z37-4025,2024-07-18
M,12:09:18,16:10:37,Z37-4012,2024-07-18
M,16:13:34,20:12:53,Z37-4012,2024-07-18
M,17:57:52,21:09:35,Z37-4025,2024-07-18
H,04:18:18,10:08:46,Z37-4025,2024-07-18
M,10:28:42,13:47:51,Z37-4025,2024-07-19
H,04:20:07,10:28:34,Z37-4025,2024-07-19
M,13:52:52,17:11:15,Z37-4025,2024-07-19
M,17:29:51,21:21:26,Z37-4025,2024-07-19
M,10:29:49,13:41:42,Z37-4012,2024-07-22
H,17:43:01,20:42:26,Z37-4025,2024-07-22
M,13:49:11,18:06:40,Z37-4012,2024-07-22
M,05:43:27,09:33:21,Z37-4012,2024-07-22
M,18:09:43,21:40:48,Z37-4012,2024-07-22
M,03:45:51,09:10:21,Z37-4025,2024-07-23
H,16:39:18,20:13:31,Z37-4025,2024-07-23
M,13:07:05,16:20:03,Z37-4025,2024-07-23
H,09:57:22,12:48:20,Z37-4025,2024-07-23
H,10:14:46,13:33:02,Z37-4025,2024-07-24
M,19:04:10,22:13:49,Z37-4025,2024-07-24
M,14:22:11,18:13:27,Z37-4012,2024-07-24
M,18:30:50,21:30:18,Z37-4012,2024-07-24
H,10:23:04,14:09:01,Z37-4012,2024-07-24
M,03:52:17,06:27:26,Z37-4012,2024-07-24
M,06:33:36,09:56:25,Z37-4012,2024-07-24
M,14:15:51,18:37:33,Z37-4025,2024-07-24
M,03:59:00,09:53:31,Z37-4025,2024-07-24
M,08:26:26,11:55:00,Z37-4012,2024-07-25
H,16:10:52,19:54:01,Z37-4012,2024-07-25
M,05:05:17,08:22:12,Z37-4012,2024-07-25
H,04:13:08,10:24:47,Z37-4025,2024-07-25
M,19:56:45,22:50:17,Z37-4025,2024-07-25
M,15:46:02,19:38:08,Z37-4025,2024-07-25
M,13:46:55,16:52:00,Z37-4025,2024-07-26
M,19:06:53,21:59:41,Z37-4012,2024-07-26
H,10:03:36,13:57:20,Z37-4012,2024-07-26
M,06:19:58,09:55:47,Z37-4012,2024-07-26
M,03:43:10,06:07:49,Z37-4012,2024-07-26
M,06:13:01,06:13:25,Z37-4012,2024-07-26
M,17:10:21,20:34:55,Z37-4025,2024-07-26
H,14:02:35,18:21:40,Z37-4012,2024-07-26
M,04:58:06,11:29:07,Z37-4025,2024-07-26
H,03:55:24,06:36:51,Z37-4012,2024-07-27
M,15:29:13,15:35:54,Z37-4012,2024-07-27
M,15:36:17,15:38:26,Z37-4012,2024-07-27
M,15:38:41,19:26:58,Z37-4012,2024-07-27
H,06:46:26,15:28:55,Z37-4012,2024-07-27
M,05:01:17,09:05:43,Z37-4012,2024-07-28
M,11:17:03,13:36:47,Z37-4012,2024-07-28
M,04:10:37,06:11:10,Z37-4025,2024-07-28
M,15:19:07,15:27:09,Z37-4025,2024-07-28
M,15:27:16,18:52:58,Z37-4025,2024-07-28
H,09:11:23,11:11:09,Z37-4012,2024-07-28
H,13:41:43,19:33:29,Z37-4012,2024-07-28
M,06:13:03,11:14:33,Z37-4025,2024-07-28
H,11:28:04,14:39:43,Z37-4025,2024-07-28
H,10:31:44,1900-01-01 00:38:48,Z37-4012,2024-07-29
M,03:38:33,10:17:27,Z37-4012,2024-07-29
H,20:20:12,22:46:03,Z37-4012,2024-07-30
M,16:09:07,19:55:59,Z37-4012,2024-07-30
H,16:05:46,19:58:55,Z37-4025,2024-07-30
H,12:33:43,15:50:25,Z37-4025,2024-07-30
M,09:36:13,12:24:12,Z37-4025,2024-07-30
M,04:25:28,07:27:11,Z37-4012,2024-07-30
M,11:58:25,15:57:07,Z37-4012,2024-07-30
M,08:04:10,11:49:30,Z37-4012,2024-07-30
M,14:09:00,17:49:45,Z37-4025,2024-07-31
M,18:34:58,21:15:03,Z37-4025,2024-07-31
M,11:00:42,11:01:19,Z37-4025,2024-07-31
M,11:03:51,13:57:51,Z37-4025,2024-07-31
M,14:06:07,18:05:29,Z37-4012,2024-07-31
M,05:32:59,09:25:26,Z37-4012,2024-07-31
M,10:09:12,14:02:39,Z37-4012,2024-07-31
M,04:26:20,10:36:10,Z37-4025,2024-07-31
