versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,velocidadVehiculo,aceleracionVehiculo
E.1.0.0,1117111,PB,Z374025,H617,No Disponible,2024-07-25 18:26:20.026,2024-07-25 18:26:20.166,T,4.585094,-74.102117,1,3,False,2,9.727,-0.149
E.1.0.0,1112301,PB,Z374025,L613,No Disponible,2024-07-25 04:36:20.005,2024-07-25 04:36:20.495,T,4.589175,-74.161300,1,3,False,2,32.262,0.792
E.1.0.0,1112202,PB,Z374025,No Disponible,No Disponible,2024-07-25 04:18:00.016,2024-07-25 04:18:00.206,T,4.592942,-74.182208,1,3,False,2,0.0,0.0
E.1.0.0,1113148,PB,Z374025,H613,No Disponible,2024-07-25 06:59:40.006,2024-07-25 06:59:40.226,T,4.570394,-74.148397,1,3,False,2,34.129,-0.332
E.1.0.0,1111958,PB,Z374025,No Disponible,No Disponible,2024-07-25 01:23:20.016,2024-07-25 01:23:20.346,T,4.593094,-74.181944,1,3,False,2,0.0,0.0
E.1.0.0,1114449,PB,Z374025,H613,No Disponible,2024-07-25 10:49:40.026,2024-07-25 10:49:40.566,T,4.592581,-74.181061,1,3,False,2,0.0,0.0
E.1.0.0,1113559,PB,Z374025,L613,No Disponible,2024-07-25 08:07:00.023,2024-07-25 08:07:00.233,T,4.555811,-74.137694,1,3,False,2,6.285,0.547
E.1.0.0,1116112,PB,Z374025,H617,No Disponible,2024-07-25 15:35:00.002,2024-07-25 15:35:00.042,T,4.591936,-74.174136,1,3,False,2,16.648,0.325
E.1.0.0,1116587,PB,Z374025,A617,No Disponible,2024-07-25 16:54:00.013,2024-07-25 16:54:00.093,T,4.586078,-74.095047,1,3,False,2,0.0,0.0
E.1.0.0,1115658,PB,Z374025,H617,No Disponible,2024-07-25 14:23:20.006,2024-07-25 14:23:20.236,T,4.585319,-74.094083,1,3,False,2,0.0,0.0
E.1.0.0,1113216,PB,Z374025,H613,No Disponible,2024-07-25 07:10:20.287,2024-07-25 07:10:20.476,T,4.589025,-74.161164,1,3,False,2,0.0,0.0
E.1.0.0,1113890,PB,Z374025,H613,No Disponible,2024-07-25 09:07:00.036,2024-07-25 09:07:00.286,T,4.545417,-74.090044,1,3,False,2,31.395,0.072
E.1.0.0,1116870,PB,Z374025,H617,No Disponible,2024-07-25 17:44:00.181,2024-07-25 17:44:00.326,T,4.603633,-74.066869,1,3,False,2,0.0,0.0
E.1.0.0,1113172,PB,Z374025,H613,No Disponible,2024-07-25 07:03:20.016,2024-07-25 07:03:20.087,T,4.577800,-74.155861,1,3,False,2,0.0,0.0
E.1.0.0,1111956,PB,Z374025,No Disponible,No Disponible,2024-07-25 01:23:00.006,2024-07-25 01:23:00.086,T,4.593094,-74.181944,1,3,False,2,0.0,0.0
E.1.0.0,1116527,PB,Z374025,A617,No Disponible,2024-07-25 16:43:40.026,2024-07-25 16:43:40.466,T,4.584708,-74.105358,1,3,False,2,0.0,0.0
E.1.0.0,1114050,PB,Z374025,H613,No Disponible,2024-07-25 09:34:00.006,2024-07-25 09:34:00.086,T,4.558931,-74.121436,1,3,False,2,0.0,-2.307
E.1.0.0,1116057,PB,Z374025,H617,No Disponible,2024-07-25 15:27:20.026,2024-07-25 15:27:20.226,T,4.588467,-74.164875,1,3,False,2,9.047,-0.106
E.1.0.0,1118316,PB,Z374025,H613,No Disponible,2024-07-25 21:58:20.026,2024-07-25 21:58:20.166,T,4.546628,-74.102697,1,3,False,2,32.547,-0.427
E.1.0.0,1117323,PB,Z374025,H617,No Disponible,2024-07-25 18:59:20.036,2024-07-25 18:59:20.896,T,4.590819,-74.144506,1,3,False,2,34.512,-0.749
E.1.0.0,1116426,PB,Z374025,A617,No Disponible,2024-07-25 16:27:00.026,2024-07-25 16:27:00.376,T,4.592511,-74.135742,1,3,False,2,33.668,0.735
E.1.0.0,1118670,PB,Z374025,No Disponible,No Disponible,2024-07-25 22:59:20.040,2024-07-25 22:59:20.320,T,4.593044,-74.181792,1,3,False,2,0.0,0.0
E.1.0.0,1113491,PB,Z374025,L613,No Disponible,2024-07-25 07:55:00.301,2024-07-25 07:55:00.566,T,4.566761,-74.144358,1,3,False,2,14.445,-0.359
E.1.0.0,1111772,PB,Z374025,No Disponible,No Disponible,2024-07-25 00:37:00.026,2024-07-25 00:37:00.076,T,4.593094,-74.181944,1,3,False,2,0.0,0.0
E.1.0.0,1114346,PB,Z374025,H613,No Disponible,2024-07-25 10:27:40.028,2024-07-25 10:27:40.296,T,4.592581,-74.181061,1,3,False,2,0.0,0.0
E.1.0.0,1112733,PB,Z374025,H613,No Disponible,2024-07-25 05:52:20.046,2024-07-25 05:52:20.236,T,4.556719,-74.087383,1,3,False,2,31.391,-0.466
E.1.0.0,1117407,PB,Z374025,H617,No Disponible,2024-07-25 19:12:40.036,2024-07-25 19:12:40.446,T,4.590686,-74.160508,1,3,False,2,22.469,-0.166
E.1.0.0,1112966,PB,Z374025,H613,No Disponible,2024-07-25 06:28:40.026,2024-07-25 06:28:40.636,T,4.558842,-74.121711,1,3,False,2,0.0,0.0
E.1.0.0,1113054,PB,Z374025,H613,No Disponible,2024-07-25 06:43:20.006,2024-07-25 06:43:20.266,T,4.560469,-74.138669,1,3,False,2,0.0,0.0
E.1.0.0,1115192,PB,Z374025,A617,No Disponible,2024-07-25 13:07:40.003,2024-07-25 13:07:40.194,T,4.586681,-74.096386,1,3,False,2,18.387,0.252
E.1.0.0,1116349,PB,Z374025,A617,No Disponible,2024-07-25 16:14:00.016,2024-07-25 16:14:00.316,T,4.589969,-74.151867,1,3,False,2,31.969,-0.57
E.1.0.0,1113569,PB,Z374025,L613,No Disponible,2024-07-25 08:08:40.237,2024-07-25 08:08:40.383,T,4.557267,-74.138200,1,3,False,2,4.578,1.428
E.1.0.0,1118664,PB,Z374025,No Disponible,No Disponible,2024-07-25 22:58:20.049,2024-07-25 22:58:20.650,T,4.592692,-74.180789,1,3,False,2,2.359,0.651
E.1.0.0,1118902,PB,Z374025,No Disponible,No Disponible,2024-07-25 23:50:40.005,2024-07-25 23:50:40.196,T,4.593044,-74.181792,1,3,False,2,0.0,0.0
