versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoAlarma,nivelAlarma,estadoDesgasteFrenos
E.1.0.0,71354,PB,Z374020,No Disponible,No Disponible,2024-04-19 02:33:00.236,2024-04-19 02:33:00.407,T,4.593006,-74.182150,3,3,False,2,ALA10,NIV5,19.0
E.1.0.0,73257,PB,Z374020,A617,No Disponible,2024-04-19 08:33:00.246,2024-04-19 08:33:00.886,T,4.588653,-74.110208,3,3,False,2,ALA10,NIV5,19.0
E.1.0.0,74281,PB,Z374020,A601,No Disponible,2024-04-19 12:54:00.046,2024-04-19 12:54:00.086,T,4.592692,-74.181028,3,3,False,2,ALA10,NIV5,19.0
E.1.0.0,76295,PB,Z374020,A617,No Disponible,2024-04-19 18:54:00.056,2024-04-19 19:14:47.512,T,4.608928,-74.072289,3,3,True,2,ALA10,NIV5,19.0
