versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento
E.1.0.0,569844,PB,Z374012,No Disponible,No Disponible,2024-07-22 05:58:20.541,2024-07-22 05:58:20.805,T,4.592619,-74.181097,2,3,False,2,EV8
E.1.0.0,572765,PB,Z374012,A601,No Disponible,2024-07-22 14:47:58.656,2024-07-22 14:47:59.316,T,4.590044,-74.108069,2,3,False,2,EV8
E.1.0.0,572514,PB,Z374012,A601,No Disponible,2024-07-22 14:02:09.946,2024-07-22 14:02:10.126,T,4.592619,-74.180931,2,3,False,2,EV8
E.1.0.0,572156,PB,Z374012,H601,No Disponible,2024-07-22 12:54:39.666,2024-07-22 12:54:40.086,T,4.594403,-74.097050,2,3,False,2,EV8
E.1.0.0,571339,PB,Z374012,A601,No Disponible,2024-07-22 10:27:52.162,2024-07-22 10:27:52.272,T,4.592653,-74.181086,2,3,False,2,EV8
E.1.0.0,572442,PB,Z374012,H601,No Disponible,2024-07-22 13:49:15.546,2024-07-22 13:49:15.646,T,4.592619,-74.180931,2,3,False,2,EV8
E.1.0.0,572499,PB,Z374012,A601,No Disponible,2024-07-22 13:59:53.416,2024-07-22 13:59:53.486,T,4.592619,-74.180931,2,3,False,2,EV8
E.1.0.0,573938,PB,Z374012,L613,No Disponible,2024-07-22 18:13:07.226,2024-07-22 18:13:07.386,T,4.592611,-74.180933,2,3,False,2,EV8
E.1.0.0,570401,PB,Z374012,A617,No Disponible,2024-07-22 07:32:24.452,2024-07-22 07:32:24.746,T,4.590614,-74.079650,2,3,False,2,EV8
E.1.0.0,572523,PB,Z374012,A601,No Disponible,2024-07-22 14:03:44.264,2024-07-22 14:03:44.474,T,4.592619,-74.180931,2,3,False,2,EV8
E.1.0.0,575153,PB,Z374012,No Disponible,No Disponible,2024-07-22 21:53:15.836,2024-07-22 21:53:16.266,T,4.592692,-74.181811,2,3,False,2,EV8
E.1.0.0,573045,PB,Z374012,A601,No Disponible,2024-07-22 15:41:27.046,2024-07-22 15:41:27.336,T,4.651808,-74.060139,2,3,False,2,EV8
E.1.0.0,569865,PB,Z374012,A617,No Disponible,2024-07-22 06:01:43.247,2024-07-22 06:01:43.725,T,4.592561,-74.180747,2,3,False,2,EV8
