versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento,porcentajeCargaBaterias
E.1.0.0,1148192,PB,Z374025,No Disponible,No Disponible,2024-08-01 02:45:20.916,2024-08-01 02:45:20.956,T,4.593119,-74.182317,2,3,False,2,EV21,100
E.1.0.0,1153452,PB,Z374025,No Disponible,No Disponible,2024-08-01 22:17:54.486,2024-08-01 22:17:54.755,T,4.592550,-74.182136,2,3,False,2,EV21,100
E.1.0.0,1148192,PB,Z374025,No Disponible,No Disponible,2024-08-01 02:45:20.916,2024-08-01 02:45:20.956,T,4.593119,-74.182317,2,3,False,2,EV21,100
