versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento
E.1.0.0,216987,PB,Z374001,TAP,No Disponible,2024-02-15 17:33:07.716,2024-02-15 17:33:08.086,T,4.593081,-74.182544,2,3,False,2,EV12
E.1.0.0,217470,PB,Z374001,EM,No Disponible,2024-02-15 20:38:27.890,2024-02-15 20:38:28.210,T,4.592547,-74.182036,2,3,False,2,EV12
