versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento
E.1.0.0,93514,PB,Z374020,H629,No Disponible,2024-04-22 20:50:29.676,2024-04-22 20:50:30.626,T,4.563561,-74.163353,2,3,False,2,EV7
E.1.0.0,93532,PB,Z374020,H629,No Disponible,2024-04-22 20:52:49.466,2024-04-22 20:52:50.416,T,4.563561,-74.163353,2,3,False,2,EV7
E.1.0.0,93840,PB,Z374020,No Disponible,No Disponible,2024-04-22 21:53:58.496,2024-04-22 21:53:59.310,T,4.593017,-74.181797,2,3,False,2,EV7
