versionTrama,idRegistro,idOperador,idVehiculo,idRuta,idConductor,fechaHoraLecturaDato,fechaHoraEnvioDato,tipoBus,latitud,longitud,tipoTrama,tecnologiaMotor,tramaRetransmitida,tipoFreno,codigoEvento
E.1.0.0,616895,PB,Z374012,No Disponible,No Disponible,2024-07-29 23:23:28.126,2024-07-29 23:23:28.216,T,4.592450,-74.182003,2,3,False,2,EV8
E.1.0.0,612118,PB,Z374012,H617,No Disponible,2024-07-29 08:37:12.215,2024-07-29 08:37:12.235,T,4.608303,-74.075017,2,3,False,2,EV8
E.1.0.0,617032,PB,Z374012,No Disponible,No Disponible,2024-07-29 23:56:28.415,2024-07-29 23:56:29.538,T,4.592450,-74.182003,2,3,False,2,EV8
E.1.0.0,612168,PB,Z374012,H617,No Disponible,2024-07-29 08:45:09.416,2024-07-29 08:45:09.486,T,4.604933,-74.071019,2,3,False,2,EV8
E.1.0.0,614881,PB,Z374012,H617,No Disponible,2024-07-29 16:53:11.196,2024-07-29 16:53:11.506,T,4.609694,-74.073600,2,3,False,2,EV8
E.1.0.0,612049,PB,Z374012,A617,No Disponible,2024-07-29 08:24:06.935,2024-07-29 08:24:07.065,T,4.603236,-74.062217,2,3,False,2,EV8
E.1.0.0,615692,PB,Z374012,H617,No Disponible,2024-07-29 19:06:06.374,2024-07-29 19:06:06.824,T,4.592658,-74.180853,2,3,False,2,EV8
E.1.0.0,615068,PB,Z374012,H617,No Disponible,2024-07-29 17:25:35.606,2024-07-29 17:25:35.766,T,4.590650,-74.079242,2,3,False,2,EV8
E.1.0.0,613358,PB,Z374012,A617,No Disponible,2024-07-29 12:07:10.665,2024-07-29 12:07:10.895,T,4.601025,-74.063192,2,3,False,2,EV8
E.1.0.0,612769,PB,Z374012,H617,No Disponible,2024-07-29 10:25:12.786,2024-07-29 10:25:13.996,T,4.592669,-74.181114,2,3,False,2,EV8
E.1.0.0,613322,PB,Z374012,A617,No Disponible,2024-07-29 12:01:05.706,2024-07-29 12:01:06.136,T,4.593625,-74.075586,2,3,False,2,EV8
E.1.0.0,611645,PB,Z374012,A617,No Disponible,2024-07-29 07:17:10.896,2024-07-29 07:17:11.366,T,4.588333,-74.144983,2,3,False,2,EV8
E.1.0.0,612759,PB,Z374012,H617,No Disponible,2024-07-29 10:23:43.234,2024-07-29 10:23:43.256,T,4.592669,-74.181114,2,3,False,2,EV8
E.1.0.0,614037,PB,Z374012,H617,No Disponible,2024-07-29 14:03:47.596,2024-07-29 14:03:47.796,T,4.592850,-74.181228,2,3,False,2,EV8
E.1.0.0,616619,PB,Z374012,No Disponible,No Disponible,2024-07-29 22:17:56.348,2024-07-29 22:17:56.728,T,4.592347,-74.181867,2,3,False,2,EV8
E.1.0.0,610955,PB,Z374012,H617,No Disponible,2024-07-29 05:17:03.836,2024-07-29 05:17:03.846,T,4.609586,-74.073467,2,3,False,2,EV8
E.1.0.0,616888,PB,Z374012,No Disponible,No Disponible,2024-07-29 23:22:01.372,2024-07-29 23:22:02.316,T,4.592450,-74.182003,2,3,False,2,EV8
E.1.0.0,610555,PB,Z374012,A617,No Disponible,2024-07-29 03:53:30.858,2024-07-29 03:53:32.338,T,4.592694,-74.181761,2,3,False,2,EV8
E.1.0.0,616560,PB,Z374012,H617,No Disponible,2024-07-29 22:05:25.256,2024-07-29 22:05:25.389,T,4.592492,-74.180536,2,3,False,2,EV8
E.1.0.0,612813,PB,Z374012,A617,No Disponible,2024-07-29 10:32:49.170,2024-07-29 10:32:49.580,T,4.592669,-74.181114,2,3,False,2,EV8
E.1.0.0,615821,PB,Z374012,A617,No Disponible,2024-07-29 19:36:41.786,2024-07-29 19:36:42.266,T,4.592658,-74.180853,2,3,False,2,EV8
E.1.0.0,613543,PB,Z374012,H617,No Disponible,2024-07-29 12:39:56.846,2024-07-29 12:39:56.916,T,4.593811,-74.074017,2,3,False,2,EV8
E.1.0.0,613391,PB,Z374012,A617,No Disponible,2024-07-29 12:13:24.756,2024-07-29 12:13:25.026,T,4.603600,-74.068928,2,3,False,2,EV8
E.1.0.0,612572,PB,Z374012,H617,No Disponible,2024-07-29 09:50:52.536,2024-07-29 09:50:52.656,T,4.590269,-74.141878,2,3,False,2,EV8
E.1.0.0,612461,PB,Z374012,H617,No Disponible,2024-07-29 09:33:32.105,2024-07-29 09:33:32.535,T,4.588789,-74.112844,2,3,False,2,EV8
E.1.0.0,613120,PB,Z374012,A617,No Disponible,2024-07-29 11:25:16.396,2024-07-29 11:25:16.496,T,4.588742,-74.109589,2,3,False,2,EV8
